数值,频率
0,0.009861
1,0.010062
2,0.010062
3,0.010097
4,0.009991
5,0.010013
6,0.010178
7,0.009928
8,0.009899
9,0.009841
10,0.010126
11,0.010131
12,0.009882
13,0.009972
14,0.009786
15,0.010023
16,0.010164
17,0.009887
18,0.009963
19,0.009971
20,0.009858
21,0.01004
22,0.010061
23,0.010005
24,0.010097
25,0.010058
26,0.010003
27,0.009878
28,0.00988
29,0.00999
30,0.009996
31,0.009916
32,0.010022
33,0.010002
34,0.009976
35,0.010111
36,0.010117
37,0.010124
38,0.009998
39,0.010033
40,0.010045
41,0.010258
42,0.00985
43,0.009984
44,0.010203
45,0.010051
46,0.009914
47,0.009982
48,0.009887
49,0.010113
50,0.009959
51,0.010036
52,0.01
53,0.009987
54,0.010022
55,0.009891
56,0.010002
57,0.009934
58,0.009812
59,0.009935
60,0.009921
61,0.009947
62,0.010011
63,0.010026
64,0.010074
65,0.00998
66,0.010054
67,0.010001
68,0.010054
69,0.010158
70,0.010025
71,0.010078
72,0.009898
73,0.009957
74,0.010023
75,0.009881
76,0.010165
77,0.010142
78,0.009918
79,0.010052
80,0.010048
81,0.009946
82,0.010072
83,0.009907
84,0.009816
85,0.010075
86,0.010043
87,0.009958
88,0.010089
89,0.009901
90,0.009967
91,0.009938
92,0.009876
93,0.010155
94,0.010299
95,0.010051
96,0.009936
97,0.009834
98,0.009894
99,0.009963
