间隔,出现次数
1,9977
2,9752
3,9740
4,9695
5,9499
6,9558
7,9572
8,9282
9,9186
10,9050
11,9034
12,8813
13,9002
14,8839
15,8857
16,8699
17,8528
18,8556
19,8446
20,8369
21,8103
22,8002
23,7883
24,7887
25,8034
26,7799
27,7555
28,7648
29,7399
30,7455
31,7411
32,7392
33,7284
34,7311
35,7108
36,7108
37,6962
38,6807
39,6826
40,6896
41,6590
42,6770
43,6523
44,6447
45,6413
46,6287
47,6404
48,6331
49,6080
50,6125
51,6085
52,6031
53,5795
54,5869
55,5606
56,5735
57,5837
58,5653
59,5631
60,5614
61,5551
62,5431
63,5249
64,5319
65,5251
66,5258
67,5150
68,5096
69,5219
70,4988
71,4995
72,4936
73,4825
74,4743
75,4713
76,4820
77,4692
78,4664
79,4545
80,4392
81,4461
82,4458
83,4437
84,4234
85,4299
86,4153
87,4237
88,4195
89,4081
90,4054
91,4013
92,3959
93,4028
94,3927
95,4034
96,3802
97,3935
98,3727
99,3664
100,3725
101,3711
102,3697
103,3562
104,3494
105,3549
106,3402
107,3366
108,3276
109,3450
110,3337
111,3298
112,3301
113,3333
114,3247
115,3236
116,3068
117,3128
118,3075
119,3006
120,3049
121,3006
122,2928
123,2873
124,2784
125,2863
126,2826
127,2790
128,2736
129,2744
130,2626
131,2694
132,2620
133,2602
134,2591
135,2642
136,2547
137,2546
138,2463
139,2474
140,2523
141,2409
142,2432
143,2436
144,2429
145,2329
146,2308
147,2314
148,2232
149,2377
150,2208
151,2233
152,2223
153,2179
154,2109
155,2122
156,2063
157,2064
158,1981
159,1975
160,2048
161,2032
162,1994
163,1952
164,1950
165,1934
166,1960
167,1934
168,1852
169,1754
170,1839
171,1812
172,1811
173,1814
174,1738
175,1786
176,1705
177,1664
178,1786
179,1674
180,1644
181,1697
182,1664
183,1588
184,1573
185,1623
186,1520
187,1592
188,1450
189,1474
190,1497
191,1498
192,1470
193,1394
194,1487
195,1476
196,1391
197,1347
198,1409
199,1379
200,1360
201,1328
202,1365
203,1307
204,1286
205,1239
206,1229
207,1239
208,1221
209,1221
210,1261
211,1206
212,1146
213,1202
214,1158
215,1121
216,1131
217,1183
218,1151
219,1072
220,1133
221,1103
222,1122
223,1115
224,999
225,1068
226,1030
227,1076
228,989
229,1026
230,1026
231,915
232,1000
233,942
234,948
235,989
236,936
237,957
238,940
239,955
240,928
241,897
242,850
243,864
244,860
245,894
246,863
247,879
248,827
249,834
250,797
251,810
252,822
253,766
254,783
255,791
256,787
257,732
258,805
259,789
260,724
261,747
262,733
263,746
264,696
265,716
266,678
267,680
268,703
269,719
270,701
271,667
272,641
273,650
274,638
275,639
276,638
277,631
278,633
279,579
280,640
281,615
282,590
283,570
284,583
285,544
286,589
287,617
288,561
289,586
290,533
291,505
292,528
293,606
294,499
295,506
296,522
297,499
298,544
299,534
300,483
301,507
302,472
303,478
304,453
305,472
306,469
307,441
308,436
309,464
310,432
311,409
312,498
313,396
314,463
315,420
316,380
317,440
318,437
319,430
320,440
321,372
322,408
323,422
324,371
325,421
326,351
327,381
328,374
329,361
330,339
331,374
332,347
333,341
334,346
335,343
336,355
337,275
338,344
339,305
340,344
341,305
342,331
343,320
344,303
345,300
346,364
347,317
348,331
349,301
350,291
351,301
352,295
353,281
354,306
355,282
356,306
357,254
358,276
359,257
360,270
361,257
362,284
363,296
364,257
365,247
366,238
367,270
368,228
369,249
370,243
371,233
372,223
373,249
374,235
375,238
376,227
377,195
378,252
379,230
380,222
381,219
382,193
383,220
384,189
385,176
386,218
387,201
388,225
389,200
390,219
391,207
392,176
393,186
394,182
395,214
396,211
397,180
398,186
399,176
400,198
401,184
402,163
403,179
404,191
405,157
406,174
407,174
408,166
409,173
410,168
411,158
412,155
413,161
414,166
415,140
416,172
417,152
418,159
419,173
420,171
421,156
422,140
423,154
424,134
425,149
426,147
427,138
428,126
429,135
430,118
431,136
432,125
433,127
434,132
435,110
436,121
437,140
438,128
439,106
440,139
441,111
442,107
443,118
444,125
445,110
446,114
447,132
448,129
449,112
450,102
451,100
452,111
453,105
454,88
455,118
456,86
457,93
458,94
459,100
460,84
461,100
462,98
463,96
464,87
465,100
466,100
467,98
468,92
469,95
470,100
471,93
472,85
473,77
474,91
475,86
476,97
477,94
478,67
479,78
480,79
481,79
482,82
483,91
484,75
485,91
486,75
487,88
488,67
489,71
490,75
491,63
492,65
493,67
494,55
495,75
496,66
497,63
498,55
499,65
500,59
501,75
502,61
503,57
504,67
505,57
506,56
507,72
508,65
509,50
510,63
511,44
512,59
513,59
514,67
515,65
516,63
517,54
518,47
519,60
520,50
521,52
522,55
523,60
524,43
525,38
526,51
527,47
528,54
529,54
530,51
531,42
532,59
533,56
534,45
535,48
536,47
537,40
538,47
539,39
540,46
541,45
542,33
543,33
544,42
545,45
546,41
547,30
548,52
549,30
550,27
551,27
552,32
553,39
554,26
555,29
556,30
557,41
558,33
559,46
560,39
561,32
562,39
563,28
564,45
565,34
566,38
567,34
568,48
569,45
570,37
571,30
572,27
573,37
574,29
575,28
576,23
577,29
578,40
579,36
580,31
581,29
582,29
583,31
584,38
585,31
586,35
587,27
588,32
589,26
590,17
591,36
592,25
593,24
594,28
595,10
596,26
597,24
598,32
599,27
600,36
601,21
602,22
603,26
604,18
605,29
606,28
607,20
608,17
609,16
610,30
611,20
612,24
613,9
614,19
615,22
616,26
617,19
618,17
619,26
620,17
621,27
622,18
623,21
624,17
625,13
626,16
627,15
628,14
629,15
630,18
631,20
632,18
633,19
634,15
635,13
636,21
637,17
638,16
639,14
640,22
641,15
642,18
643,17
644,23
645,13
646,12
647,13
648,15
649,10
650,16
651,17
652,20
653,20
654,14
655,12
656,16
657,11
658,4
659,18
660,21
661,9
662,15
663,21
664,14
665,16
666,13
667,15
668,11
669,9
670,8
671,10
672,13
673,8
674,15
675,12
676,9
677,5
678,14
679,11
680,11
681,13
682,11
683,22
684,11
685,11
686,7
687,16
688,15
689,8
690,7
691,6
692,15
693,14
694,12
695,9
696,5
697,7
698,10
699,8
700,12
701,11
702,7
703,8
704,13
705,13
706,11
707,7
708,12
709,7
710,11
711,10
712,7
713,5
714,4
715,12
716,10
717,4
718,3
719,12
720,6
721,10
722,7
723,6
724,5
725,5
726,8
727,6
728,13
729,8
730,6
731,6
732,5
733,7
734,6
735,10
736,5
737,2
